
list-i-m,8,16,1,384,501576,1306
list-il-m,8,16,1,384,1028927,2679
list-dl-m,8,16,1,384,953624,2483
list-d-s,12,16,1,576,1506607,2615
list-i-s,12,16,1,576,530991,921
list-dl-s,12,16,1,576,5283186,9172
list-il-s,12,16,1,576,4695379,8151
list-d-m,12,16,1,576,674755,1171
list-i-m,12,16,1,576,1252812,2175
list-il-m,12,16,1,576,2309365,4009
list-dl-m,12,16,1,576,1930544,3351
list-d-s,2,32,1,192,85159,443
list-i-s,2,32,1,192,175753,915
list-dl-s,2,32,1,192,249671,1300
list-il-s,2,32,1,192,427090,2224
list-d-m,2,32,1,192,185764,967
list-i-m,2,32,1,192,127840,665
list-il-m,2,32,1,192,331983,1729
list-dl-m,2,32,1,192,288150,1500
list-d-s,4,32,1,384,207002,539
list-i-s,4,32,1,384,254319,662
list-dl-s,4,32,1,384,1290202,3359
list-il-s,4,32,1,384,1826541,4756
list-d-m,4,32,1,384,191384,498
list-i-m,4,32,1,384,415679,1082
list-il-m,4,32,1,384,1186601,3090
list-dl-m,4,32,1,384,1253448,3264
list-d-s,8,32,1,768,785270,1022
list-i-s,8,32,1,768,1251634,1629
list-dl-s,8,32,1,768,5780708,7526
list-il-s,8,32,1,768,4074203,5304
list-d-m,8,32,1,768,1132336,1474
list-i-m,8,32,1,768,1080884,1407
list-il-m,8,32,1,768,3539456,4608
list-dl-m,8,32,1,768,3412762,4443
list-d-s,12,32,1,1152,3556860,3087
list-i-s,12,32,1,1152,3266567,2835
list-dl-s,12,32,1,1152,28986456,25161
list-il-s,12,32,1,1152,15838147,13748
list-d-m,12,32,1,1152,1689947,1466
list-i-m,12,32,1,1152,1544051,1340
list-il-m,12,32,1,1152,7252505,6295
list-dl-m,12,32,1,1152,7681339,6667
list-none-m,1,1000,1,3000,3826568,1275
list-none-s,1,1000,1,3000,3814021,1271
list-none-m,2,1000,1,6000,22914125,3819
list-none-s,2,1000,1,6000,42413991,7068
list-none-m,4,1000,1,12000,91938277,7661
list-none-s,4,1000,1,12000,138208823,11517
